30;27;0,90
31;25;0,81
19;18;0,95
83;62;0,75
56;41;0,73
26;24;0,92
29;25;0,86
50;37;0,74
51;43;0,84
19;18;0,95
58;45;0,78
21;19;0,90
50;37;0,74
21;20;0,95
20;17;0,85
25;21;0,84
18;17;0,94
54;40;0,74
83;47;0,57
13;13;1,00
95;71;0,75
83;52;0,63
29;24;0,83
30;26;0,87
316;171;0,54
168;109;0,65
140;79;0,56
40;29;0,73
78;54;0,69
40;33;0,83
121;77;0,64
32;27;0,84
56;39;0,70
66;44;0,67
62;46;0,74
25;19;0,76
26;20;0,77
26;20;0,77
84;50;0,60
120;75;0,63
15;15;1,00
80;54;0,68
55;39;0,71
71;45;0,63
44;30;0,68
66;40;0,61
54;35;0,65
69;49;0,71
22;12;0,55
37;23;0,62
7;7;1,00
104;58;0,56
229;106;0,46
21;20;0,95
20;17;0,85
23;21;0,91
40;29;0,73
128;92;0,72
18;17;0,94
29;25;0,86
27;22;0,81
91;58;0,64
74;60;0,81
30;27;0,90
33;25;0,76
13;13;1,00
116;82;0,71
29;24;0,83
29;27;0,93
21;18;0,86
43;34;0,79
71;59;0,83
77;55;0,71
52;38;0,73
21;19;0,90
26;21;0,81
32;24;0,75
46;34;0,74
122;77;0,63
71;48;0,68
42;30;0,71
19;18;0,95
7;7;1,00
40;32;0,80
33;28;0,85
29;23;0,79
80;51;0,64
53;44;0,83
56;38;0,68
49;33;0,67
43;34;0,79
103;69;0,67
52;38;0,73
24;16;0,67
72;50;0,69
50;38;0,76
14;13;0,93
41;29;0,71
82;56;0,68
46;31;0,67
13;13;1,00
63;45;0,71
14;14;1,00
14;14;1,00
130;85;0,65
9;9;1,00
82;55;0,67
20;20;1,00
93;61;0,66
65;37;0,57
54;41;0,76
58;37;0,64
24;21;0,88
46;35;0,76
31;28;0,90
16;16;1,00
8;8;1,00
12;12;1,00
18;14;0,78
17;16;0,94
16;16;1,00
85;64;0,75
97;61;0,63
14;14;1,00
16;15;0,94
71;47;0,66
19;17;0,89
8;8;1,00
39;31;0,79
56;40;0,71
21;19;0,90
20;19;0,95
87;60;0,69
6;6;1,00
5;5;1,00
283;141;0,50
47;37;0,79
57;38;0,67
49;34;0,69
15;13;0,87
34;27;0,79
45;30;0,67
20;18;0,90
98;67;0,68
30;24;0,80
38;23;0,61
41;30;0,73
23;18;0,78
46;36;0,78
27;20;0,74
17;16;0,94
27;21;0,78
59;46;0,78
40;30;0,75
20;18;0,90
40;26;0,65
54;39;0,72
39;33;0,85
28;23;0,82
9;9;1,00
32;27;0,84
48;36;0,75
10;10;1,00
18;16;0,89
57;35;0,61
32;23;0,72
48;40;0,83
27;23;0,85
35;32;0,91
139;80;0,58
