50,75; 11,7
59,55; 10,5
65,55; 8,1
69,7; 7,6
4,45; 20,9
52,7; 12,0
40,15; 13,6
44,5; 13,0
50,35; 11,8
38,45; 14,3
9,8; 19,9
56,6; 10,5
56,8; 10,4
70,3; 7,4
3,2; 22,5
33,8; 15,0
56,1; 10,7
56,3; 10,6
62,35; 9,4
28,55; 15,9
28,1; 17,2
39,65; 13,8
46,9; 12,1
45,4; 12,7
8,1; 20,6
19,85; 17,1
57,6; 10,1
32,4; 15,5
16,95; 18,3
34,4; 14,8
44,5; 13,0
50,55; 14,0
44,6; 13,0
21,6; 17,5
10,2; 19,8
3,55; 21,3
16,75; 20,5
52,45; 11,0
57,55; 11,2
42,9; 13,6
13,0; 25,3
-39,31; 30,3
-53,46; 34,7
-4,96; 24,6
36,95; 14,9
1,35; 22,1
-13,06; 34,4
-22,81; 32,7
41,45; 13,1
58,2; 9,9
81,1; 5,4
47,4; 11,9
51,15; 11,5
45,3; 12,7
31,75; 14,7
52,65; 10,9
49,85; 12,0
63,95; 8,7
-347,51; 91,0
34,6; 14,7
49,55; 12,2
33,0; 15,3
46,5; 12,2
-22,31; 25,9
3,5; 20,2
32,2; 15,6
35,15; 15,6
36,65; 15,0
61,75; 9,6
50,45; 11,8
78,7; 6,3
11,4; 19,3
85,25; 4,8
74,35; 6,9
43,8; 13,3
45,4; 12,7
69,3; 7,8
72,75; 7,5
72,65; 7,6
44,6; 13,0
46,0; 12,4
46,3; 12,3
50,15; 11,9
15,05; 19,0
35,0; 16,7
5,35; 20,6
33,7; 15,0
54,9; 11,2
4,95; 20,7
16,45; 18,5
33,8; 15,0
68,5; 8,1
38,25; 14,4
71,55; 8,0
33,0; 15,3
56,5; 10,5
45,6; 12,6
56,3; 10,6
27,65; 16,3
43,3; 13,5
54,0; 11,5
-15,46; 41,9
61,85; 9,6
49,15; 12,3
45,8; 12,5
40,35; 13,5
73,95; 7,0
22,75; 18,2
33,8; 15,0
59,15; 10,6
39,45; 13,9
61,35; 9,8
44,7; 12,9
52,1; 12,3
9,2; 20,2
20,75; 19,0
47,0; 12,0
-56,01; 32,4
-6,16; 25,1
50,15; 11,9
51,85; 11,3
32,65; 16,5
40,75; 13,4
28,75; 15,9
46,3; 12,3
44,4; 13,1
64,45; 8,5
58,85; 10,7
38,75; 14,2
56,1; 10,7
-1,66; 23,3
46,2; 12,4
29,55; 15,5
11,2; 19,4
100,95; 0,9
46,4; 12,3
37,15; 14,8
69,6; 7,6
38,85; 14,1
-172,01; 55,6
-0,31; 21,7
28,25; 16,1
27,25; 16,4
66,9; 8,7
56,0; 10,7
28,65; 15,9
19,3; 18,4
3,2; 22,5
38,95; 14,1
69,7; 7,6
79,9; 5,8
72,75; 7,5
66,4; 8,9
23,7; 16,7
86,25; 4,5
35,3; 16,6
44,7; 17,4
42,4; 13,8
22,9; 17,0
49,75; 12,1
10,2; 19,8
38,55; 14,2
57,3; 10,2
56,5; 10,5
-55,01; 32,0
57,1; 10,3
-5,66; 24,9
40,45; 13,5
61,05; 9,9
45,9; 12,5
