4,85; 20,8
56,6; 10,5
29,05; 15,7
32,9; 15,3
51,05; 11,6
-0,16; 22,7
-17,06; 24,9
56,6; 10,5
63,25; 9,0
45,4; 12,7
33,1; 15,3
7,75; 19,6
56,5; 10,5
68,7; 8,0
-11,51; 23,8
70,15; 8,5
49,65; 12,1
33,5; 15,1
56,4; 10,6
0,35; 22,5
35,1; 14,5
12,65; 26,5
70,0; 7,5
34,2; 14,8
49,35; 12,2
57,7; 10,1
13,35; 19,7
21,6; 17,5
56,8; 10,4
21,1; 17,7
57,0; 10,4
16,05; 18,6
46,3; 14,5
34,1; 14,9
84,65; 5,1
29,1; 16,8
13,05; 19,8
57,2; 10,3
40,45; 13,5
23,2; 16,9
-26,21; 27,4
57,3; 10,2
36,4; 14,0
69,4; 7,7
50,65; 11,7
33,6; 15,1
-8,86; 23,9
8,05; 21,7
46,3; 12,3
71,25; 8,1
81,5; 5,2
-5,16; 22,5
67,7; 8,4
45,8; 12,5
31,75; 14,7
72,05; 7,8
28,75; 15,9
52,6; 12,1
-347,51; 91,0
-28,76; 27,3
37,75; 14,6
56,1; 10,7
-133,96; 77,1
61,25; 9,8
3,5; 20,2
0,35; 22,5
35,45; 15,5
64,15; 8,7
57,7; 10,1
62,65; 9,2
79,1; 6,1
59,9; 13,6
73,55; 7,2
57,7; 10,1
46,0; 12,4
39,15; 14,0
63,15; 9,1
72,05; 7,8
68,1; 8,2
43,8; 13,3
46,0; 12,4
52,15; 11,1
22,9; 17,0
19,9; 18,2
58,4; 9,8
51,85; 11,3
57,0; 10,4
39,65; 13,8
-4,46; 24,4
26,45; 16,8
49,35; 12,2
57,0; 10,4
44,8; 12,9
59,85; 10,3
34,0; 14,9
39,45; 13,9
50,85; 11,6
75,55; 6,4
28,85; 15,8
69,7; 7,6
73,55; 7,2
60,05; 10,3
49,9; 13,1
23,75; 17,8
22,7; 17,1
59,0; 9,6
27,65; 16,3
22,75; 18,2
62,45; 9,3
56,0; 10,7
44,6; 13,0
44,7; 12,9
51,45; 11,4
27,45; 16,4
39,85; 13,7
48,25; 12,7
21,6; 17,5
88,25; 3,7
-113,51; 43,8
60,45; 10,1
61,35; 9,8
55,2; 11,1
68,6; 8,0
28,75; 15,9
46,3; 12,3
56,3; 10,6
73,55; 7,2
74,55; 6,8
79,4; 6,0
40,0; 17,0
26,75; 16,6
32,6; 15,5
80,1; 5,7
-74,56; 36,3
70,7; 7,2
53,9; 11,6
66,0; 9,0
-4,81; 25,6
49,85; 12,0
-172,01; 55,6
45,2; 12,7
52,65; 10,9
57,85; 11,1
62,85; 9,2
33,8; 15,0
29,45; 15,6
-230,51; 67,4
44,8; 12,9
51,35; 11,5
57,8; 10,0
-113,51; 43,8
79,1; 6,1
62,55; 9,3
13,9; 20,6
60,85; 10,0
61,95; 9,5
69,7; 7,6
42,45; 12,7
10,9; 19,5
22,9; 17,0
1,9; 20,8
45,3; 12,7
15,05; 19,0
56,5; 10,5
-55,01; 32,0
50,15; 11,9
50,35; 11,8
23,1; 17,0
48,15; 12,7
36,95; 14,9
