
1;1;1.0;0
1;2;0.5;3
1;1;1.0;2
1;4;0.25;4
1;3;0.33;4
1;2;0.5;0
1;2;0.5;1
1;4;0.25;3
1;2;0.5;2
1;2;0.5;0
1;3;0.33;3
1;2;0.5;1
1;4;0.25;3
1;1;1.0;1
2;1;2.0;2
1;2;0.5;2
1;1;1.0;1
1;3;0.33;3
11;10;1.1;6
1;1;1.0;1
1;3;0.33;0
1;5;0.2;7
1;2;0.5;1
1;3;0.33;0
9;19;0.47;14
11;8;1.38;5
1;9;0.11;5
1;1;1.0;2
5;6;0.83;9
1;2;0.5;1
3;5;0.6;8
1;2;0.5;2
1;6;0.17;1
1;4;0.25;2
1;4;0.25;5
1;1;1.0;4
1;1;1.0;4
1;1;1.0;2
1;4;0.25;3
1;10;0.1;4
1;1;1.0;0
3;7;0.43;4
1;3;0.33;3
5;3;1.67;5
5;1;5.0;0
4;1;4.0;7
5;1;5.0;3
7;5;1.4;10
1;1;1.0;1
1;2;0.5;2
1;1;1.0;1
5;6;0.83;5
20;7;2.86;9
4;1;4.0;1
1;1;1.0;0
1;1;1.0;2
1;3;0.33;1
11;7;1.57;7
1;1;1.0;1
1;1;1.0;0
1;2;0.5;0
10;5;2.0;4
3;6;0.5;4
3;1;3.0;0
1;2;0.5;3
1;1;1.0;0
12;6;2.0;4
1;3;0.33;2
1;1;1.0;1
1;1;1.0;2
5;3;1.67;2
2;1;2.0;0
2;5;0.4;4
4;3;1.33;4
3;3;1.0;1
1;1;1.0;1
1;1;1.0;1
6;4;1.5;1
2;1;2.0;0
2;3;0.67;6
1;2;0.5;5
1;1;1.0;0
1;1;1.0;0
1;1;1.0;2
1;2;0.5;1
1;3;0.33;1
